date,edition,source_url,markdown_filename,release_tag
2026-06-16,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=16062026-VES.pdf&anio=2026&repo=repositorio/,16062026-VES.md,dof-2026
2026-06-17,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=17062026-MAT.pdf&anio=2026&repo=repositorio/,17062026-MAT.md,dof-2026
2026-06-18,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=18062026-MAT.pdf&anio=2026&repo=repositorio/,18062026-MAT.md,dof-2026
2026-06-19,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=19062026-MAT.pdf&anio=2026&repo=repositorio/,19062026-MAT.md,dof-2026
2026-06-19,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=19062026-VES.pdf&anio=2026&repo=repositorio/,19062026-VES.md,dof-2026
2026-06-22,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=22062026-MAT.pdf&anio=2026&repo=repositorio/,22062026-MAT.md,dof-2026
2026-06-22,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=22062026-VES.pdf&anio=2026&repo=repositorio/,22062026-VES.md,dof-2026
2026-06-23,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=23062026-MAT.pdf&anio=2026&repo=repositorio/,23062026-MAT.md,dof-2026
2026-06-24,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=24062026-MAT.pdf&anio=2026&repo=repositorio/,24062026-MAT.md,dof-2026
2026-06-25,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=25062026-MAT.pdf&anio=2026&repo=repositorio/,25062026-MAT.md,dof-2026
2026-06-26,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=26062026-MAT.pdf&anio=2026&repo=repositorio/,26062026-MAT.md,dof-2026
2026-06-26,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=26062026-VES.pdf&anio=2026&repo=repositorio/,26062026-VES.md,dof-2026
2026-06-29,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=29062026-MAT.pdf&anio=2026&repo=repositorio/,29062026-MAT.md,dof-2026
2026-06-29,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=29062026-VES.pdf&anio=2026&repo=repositorio/,29062026-VES.md,dof-2026
2026-06-30,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=30062026-MAT.pdf&anio=2026&repo=repositorio/,30062026-MAT.md,dof-2026
2026-06-30,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=30062026-VES.pdf&anio=2026&repo=repositorio/,30062026-VES.md,dof-2026
2026-07-01,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=01072026-MAT.pdf&anio=2026&repo=repositorio/,01072026-MAT.md,dof-2026
